title,company,location,url,post_date,scraped_at,source,description,industry,skills
Data Engineer (L5),Netflix,United States,https://www.linkedin.com/jobs/view/data-engineer-l5-at-netflix-3982462774,2025-10-13,2025-10-21T13:32:34.984345,public_api,"Netflix is one of the world's leading entertainment services, with over 300 million paid memberships in over 190 countries enjoying TV series, films and games across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time.
Netflix is revolutionizing how shows and movies are produced, pushing technological boundaries to efficiently deliver streaming video at a massive scale over the internet, and continuously improving the end-to-end user experience with Netflix across their member journey.
We pride ourselves on using data to inform our decision-making as we work towards our mission. This requires curating data across various domains such as Ads, Games, Growth, Finance, Product, Content, and Studio. All of this data collection and curation is made possible thanks to the amazing Data Engineers of Netflix who bring this data to life.
Data Engineering at Netflix is a role that requir",Not specified,"SQL, Java, Python, Scala, Spark"
Data Engineer (L4) - Platform,Netflix,United States,https://www.linkedin.com/jobs/view/data-engineer-l4-platform-at-netflix-4302933782,2025-10-15,2025-10-21T13:32:34.984345,public_api,,,
Data Engineer,SKIMS,"Los Angeles, CA",https://www.linkedin.com/jobs/view/data-engineer-at-skims-4315898642,2025-10-15,2025-10-21T13:32:34.984345,public_api,,,
Junior Data Engineer,Cylinder,United States,https://www.linkedin.com/jobs/view/junior-data-engineer-at-cylinder-4317522771,,2025-10-21T13:32:34.984345,public_api,,,
Senior Data Engineer - Data Science,LinkedIn,"Sunnyvale, CA",https://www.linkedin.com/jobs/view/senior-data-engineer-data-science-at-linkedin-4315355747,2025-10-15,2025-10-21T13:32:34.984345,public_api,"Company Description
LinkedIn is the worlds largest professional network, built to create economic opportunity for every member of the global workforce. Our products help people make powerful connections, discover exciting opportunities, build necessary skills, and gain valuable insights every day. Were also committed to providing transformational opportunities for our own employees by investing in their growth. We aspire to create a culture thats built on trust, care, inclusion, and fun where everyone can succeed.
Job Description
LinkedIn's Data Science team leverages big data to empower business decisions and deliver data-driven insights, metrics, and tools in order to drive member engagement, business growth, and monetization efforts. With over 1 billion members around the world, a focus on great user experience, and a mix of B2B and B2C programs, LinkedIn offers countless ways for an ambitious data engineer to have an impact and transform your career.
We are now looking for a talent",Not specified,"SQL, JavaScript, Java, Python, Tableau, Scala, Spark, PHP, R"
Data Engineer (L5) - Games,Netflix,United States,https://www.linkedin.com/jobs/view/data-engineer-l5-games-at-netflix-4313842380,2025-10-18,2025-10-21T13:32:34.984345,public_api,"Netflix is one of the world's leading entertainment services, with over 300 million paid memberships in over 190 countries enjoying TV series, films and games across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time.
Games are our next big frontier and an incredible opportunity for us to deliver new experiences to delight and entertain our quickly growing membership. You will be joining us at an exciting time as we roll out more games on both mobile and cloud and be in a position to help us redefine what a Netflix subscription means for our members around the world.
The Data Science and Engineering (DSE) team uses data, analytics, and sciences to improve various aspects of our business. As a 
Senior Data Engineer 
focused on 
Core Metrics and Metadata
, you will be a foundational partner, leveraging high-quality data to support end-to-end analytics needs for our Games partn",Not specified,"SQL, Java, Python, Scala, Spark, Hadoop"
Data Engineer II,Microsoft,"Redmond, WA",https://www.linkedin.com/jobs/view/data-engineer-ii-at-microsoft-4316568842,2025-10-18,2025-10-21T13:32:34.986349,public_api,"With continued growth in digital data and the desire to leverage data to measure in-production quality and address problems that touch all aspects of our lives, Microsoft’s Windows Servicing & Delivery Org is looking for an equally data- and quality-minded engineer to meet these challenges! Join the Update Platform team for the chance to have an impact on billions of customers every day. The Update Platform Team is responsible for ensuring the seamless delivery and integration of software updates and keeping our customers up-to-date and secure at all times.
As a 
Data Engineer II
 member of the Update Platform Insights team, you will be at the forefront of leveraging data to assess the quality of the product, detect issues before they reach broad customer application to assure top product quality for partners and customers alike while keeping billions of devices secure and up-2-date.
In this exciting role, you'll work with a diverse group of talented professionals, innovate for greater",Not specified,"SQL, python, Azure"
"Software  Engineer, Data Visualization",OpenAI,"San Francisco, CA",https://www.linkedin.com/jobs/view/software-engineer-data-visualization-at-openai-4207339818,2025-10-12,2025-10-21T13:32:34.986349,public_api,"About The Team
The Data Visualization team at OpenAI is responsible for building and maintaining all the visualization tools used for analyzing various software and hardware aspects of our custom-built hyperscale supercomputers. This includes visualizing hardware (nodes, network, racks, etc.), monitoring how a user’s job is running on the platform, and assessing the health of the underlying systems. These tools allow us to analyze, improve, and operate the platform for running and training the world’s largest AI models. We work at the cutting edge of speed and scale, combining the traditions of High-Performance Computing (HPC) with a modern cloud and containerized environment.
Our team is incubated within OpenAI’s Research team, operating at the forefront of AI innovations. The Platform Visualization team complements the existing platform teams that ensure our researchers are minimally impacted by hardware faults. We maximize available supercomputing capacity for researchers and mainta",Not specified,"SQL, JavaScript, Azure, Kubernetes, Python, React, Snowflake, Node.js"
"Software Engineer, Fullstack, Early Career",Notion,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-fullstack-early-career-at-notion-4296641686,2025-10-18,2025-10-21T13:32:34.986349,public_api,"About Us
Notion helps you build beautiful tools for your life’s work. In today's world of endless apps and tabs, Notion provides one place for teams to get everything done, seamlessly connecting docs, notes, projects, calendar, and email—with AI built in to find answers and automate work. Millions of users, from individuals to large organizations like Toyota, Figma, and OpenAI, love Notion for its flexibility and choose it because it helps them save time and money.
In-person collaboration is essential to Notion's culture. We require all team members to work from our offices on Mondays and Thursdays, our designated Anchor Days. Certain teams or positions may require additional in-office workdays.
About The Role
As an Early Career Software Engineer at Notion, you’ll help shape core user experiences and accelerate how people discover value in Notion. You'll tackle meaningful challenges with increasing autonomy, crafting code that millions of users will experience. You'll take ownership of",Not specified,"TypeScript, Node.js, React"
"Software Engineer, Fullstack, Early Career",Notion,"San Francisco, CA",https://www.linkedin.com/jobs/view/software-engineer-fullstack-early-career-at-notion-4296646591,2025-10-18,2025-10-21T13:32:34.987352,public_api,,,
