title,company,location,url,post_date,scraped_at,source,description,industry,skills
Software Engineer,Microsoft,"Punjab, India",https://in.linkedin.com/jobs/view/software-engineer-at-microsoft-4316335244,2025-10-17,2025-10-21T13:54:03.266463,public_api,"Microsoft Silicon, Cloud Hardware, and Infrastructure Engineering (SCHIE) is the team behind Microsoft’s expanding Cloud Infrastructure and responsible for powering Microsoft’s “Intelligent Cloud” mission. SCHIE delivers the core infrastructure and foundational technologies for Microsoft's over 200 online businesses including Bing, MSN, Office 365, Xbox Live, Teams, OneDrive, and the Microsoft Azure platform globally with our server and data center infrastructure, security and compliance, operations, globalization, and manageability solutions. Our focus is on smart growth, high efficiency, and delivering a trusted experience to customers and partners worldwide and we are looking for passionate, high-energy engineers to help achieve that mission.
The Azure Data Processing Unit (DPU) team brings together state-of-the-art software and hardware expertise to create a highly programmable and high-performance chip with the capability to efficiently handle large data volumes. Thanks to its int",Not specified,"Azure, Microsoft Azure"
Software Engineer,Microsoft,"Punjab, India",https://in.linkedin.com/jobs/view/software-engineer-at-microsoft-4315834806,2025-10-16,2025-10-21T13:54:03.266463,public_api,"The Microsoft 365 Copilot Mobile team in India is looking for a passionate and talented Software Engineer to build the next generation of AI-powered mobile experiences for iOS.
The M365 Copilot App team is redefining productivity on mobile by delivering Copilot-powered experiences that combine the richness of Word, Excel, and PowerPoint with mobile-first design. Our mission is to enable seamless creation, consumption, and collaboration on the go.
With 100M+ monthly active users and growing daily engagement, we’re building an app that is truly centered around the user, scaling across multiple digital identities to keep them productive anytime, anywhere. Achieving this requires faster experimentation, solid quality of experience, and coherence across platforms.
Search and innovation is at the heart of this mission. We’re building intelligent, AI-driven search experiences that help users find what they need—documents, chats, emails, and more—quickly and effortlessly. Our goal is to make s",Not specified,"Java, Python, JavaScript, go"
Data Engineer (all genders),HRS Group,"Sahibzada Ajit Singh Nagar, Punjab, India",https://in.linkedin.com/jobs/view/data-engineer-all-genders-at-hrs-group-4315821899,2025-10-16,2025-10-21T13:54:03.266463,public_api,"Hrs As a Company
HRS, a pioneer in business travel, aims to elevate every stay through innovative technology. With over 50 years of experience, their digital platform, driven by ProcureTech, TravelTech, and FinTech, transforms how companies and travelers Stay, Work, and Pay.
ProcureTech digitally revolutionizes lodging procurement, connecting corporations and suppliers in a cutting-edge ecosystem. This enables seamless efficiency and automation, surpassing travelers' expectations.
TravelTech redefines the online lodging experience, offering personalized content from selection to check-in, ensuring an unparalleled journey for corporate travelers.
In FinTech, HRS introduces advancements like mobile banking and digital payments, turning corporate back offices into touchless lodging enablers, eliminating legacy cost barriers. The innovative 2-click book-to-pay feature streamlines interactions for travelers and hoteliers.
Combining these technology propositions, HRS unlocks exponential cata",Not specified,"SQL, Azure, AWS, Python, GCP"
Data Engineer,EXO Edge,"Sahibzada Ajit Singh Nagar, Punjab, India",https://in.linkedin.com/jobs/view/data-engineer-at-exo-edge-3956025903,2024-06-21,2025-10-21T13:54:03.266463,public_api,"EXO Edge is looking for experienced Data Engineer to join our Data Analytics team. As a Data Engineer, you will design, develop, evaluate, and test data infrastructures. Source system analysis, data modeling, business measure development, and report/visualization formatting. Ensure compliance with policies and procedures, safety, state, and federal laws, regulations, and standards.
In your journey as a Data Engineer at EXO Edge, you will be:
Primarily Focused On
Consolidating separate data and reporting suites
Ensuring business users are enabled with carefully curated data visualizations with accurate, reliable, and consistent data to monitor contract performance and assist in decision making
Determining reporting needs, developing and building reports, training users and establishing reporting cadences and processes.
Fulfilling The Below Roles And Responsibilities
Translate logical designs into physical designs, taking account of business requirements, target environments, processes, ",Not specified,"SQL, Power BI, Azure"
Data Engineer,Grazitti Interactive,"Sahibzada Ajit Singh Nagar, Punjab, India",https://in.linkedin.com/jobs/view/data-engineer-at-grazitti-interactive-4266777611,2025-07-15,2025-10-21T13:54:03.266463,public_api,"Job Description
We’re looking for a skilled and experienced Data Engineer with 5–7 years of experience, including 3–4 years leading data engineering teams on Google Cloud Platform (GCP). The ideal candidate should have worked in premium consulting environments, led cloud migration projects, and possess strong communication skills to collaborate effectively with technical and business stakeholders.
This role is with our flagship product, SearchUnify, a recognized leader in AI-powered customer support and enterprise search.
Key Skills
3–4 years of experience leading Data Engineering teams developing enterprise-grade pipelines on Google Cloud.
Hands-on expertise in GCP services like BigQuery, Dataform, and Dataplex.
Proven track record in migrating ETL pipelines and data warehouses to the cloud.
2–3 years of recent experience with premium consulting firms.
Proficiency in SQL and Python scripting.
Experience designing secure, scalable ETL/ELT pipelines.
Strong understanding of data modelin",Not specified,"SQL, AWS, Azure, Power BI, Python, Looker, Tableau, Google Cloud Platform, GCP"
SQL Data Analyst,The Future University,"Sahibzada Ajit Singh Nagar, Punjab, India",https://in.linkedin.com/jobs/view/sql-data-analyst-at-the-future-university-4271583061,2025-07-24,2025-10-21T13:54:03.266463,public_api,"About The Opportunity
Join a dynamic leader in the education sector that leverages advanced data analytics to drive institutional excellence. Operating in a technology-driven environment, this high-growth organization empowers its teams with a comprehensive data strategy. As a critical part of the on-site team based in India, you will help transform data into actionable insights that support strategic decision-making.
Role & Responsibilities
Develop, optimize, and maintain complex SQL queries to support data extraction and reporting.
Analyze large datasets to identify trends, correlations, and actionable insights to drive business decisions.
Design and implement data models and warehousing solutions to improve reporting accuracy and performance.
Collaborate with cross-functional teams to understand data requirements and translate business needs into technical solutions.
Create and maintain dashboards and visual reports to present insights to stakeholders.
Ensure data integrity and impl",Not specified,"SQL, sql"
Position title Data Engineer,Grazitti Interactive,"Sahibzada Ajit Singh Nagar, Punjab, India",https://in.linkedin.com/jobs/view/position-title-data-engineer-at-grazitti-interactive-4269932786,2025-07-19,2025-10-21T13:54:03.266463,public_api,"Data Engineer
Location:
 Mohali, India
Posted on:
 July 20, 2023
Description
As a Data Engineer, you will be responsible for collecting, managing, and converting raw data into information that can be interpreted by data scientists and business analysts. Data accessibility is your ultimate goal, which is to enable organizations to utilize data for performance evaluation and optimization.
At Grazitti, we are actively seeking a Data Engineer, with 4 years of experience combining data from different sources and strong coding skills in Python or PySpark. Besides, the ideal candidate should be familiar with Spark, Big Data technologies, ETL, SQL/NoSQL DB, Linux/Unix, and Streaming technologies like Kafka or Kinesis, Apache Airflow, Data Modelling, and Persistence Optimization.
Skills
 
Key Skills
Proficiency in Amazon AWS or Microsoft Azure.
Hands-on experience with Apache Airflow for workflow management.
Sound understanding of Data Modeling & Persistence Optimization.
Experience with analyt",Not specified,"SQL, AWS, Microsoft Azure, Python, Tableau, Spark, Airflow, POWER BI, GCP, Kafka"
Lead/Associate/Sr. ETL & DWH Engineer / Data Analyst,Grazitti Interactive,"Sahibzada Ajit Singh Nagar, Punjab, India",https://in.linkedin.com/jobs/view/lead-associate-sr-etl-dwh-engineer-data-analyst-at-grazitti-interactive-4263267170,2025-07-07,2025-10-21T13:54:03.266463,public_api,"Job Description
We are looking for an experienced and results-driven ETL & DWH Engineer/Data Analyst with over 8 years of experience in data integration, warehousing, and analytics. The ideal candidate will have deep technical expertise in ETL tools, strong data modeling knowledge, and the ability to lead complex data engineering projects from design to deployment.
Key Skills
4+ years of hands-on experience with ETL tools like SSIS, Informatica, DataStage, or Talend.
Proficient in relational databases such as SQL Server and MySQL.
Strong understanding of Data Mart/EDW methodologies.
Experience in designing star schemas, snowflake schemas, fact and dimension tables.
Experience with Snowflake or BigQuery.
Knowledge of reporting and analytics tools like Tableau and Power BI.
Scripting and programming proficiency using Python.
Familiarity with cloud platforms such as AWS or Azure.
Ability to lead recruitment, estimation, and project execution.
Exposure to Sales and Marketing data domains.
",Not specified,"SQL, Azure, AWS, Power BI, Python, snowflake, Tableau, Snowflake, MySQL"
Software Engineer,Ariel Software Solutions Pvt. Ltd.,"Sahibzada Ajit Singh Nagar, Punjab, India",https://in.linkedin.com/jobs/view/software-engineer-at-ariel-software-solutions-pvt-ltd-3815116822,2024-01-25,2025-10-21T13:54:03.266463,public_api,"NET or ASP.NET Developer’s Job Analysis (MVC.NET Framework) (1 year to 4 years)
An ASP.NET developer with an MVC.NET framework to be responsible for designing and monitoring applications. The responsibilities of MVC.NET developers include writing code, designing solutions for applications, and improving functionality.
NET or ASP.NET (MVC.NET Framework) Developer’s Job Description (Roles and Responsibilities):
Creating top-quality applications.
Integrating and collaborating with front-end developers.
Ensuring that junior staff delivers according to standards.
Designing and building application layers.
Ensuring a required level of performance.
Writing test-backed server-side code.
Analyzing requirements and designing new functionality.
Supporting and fixing existing functionality.
Selecting and using the most appropriate and efficient technologies for a particular application.
NET or ASP.NET (MVC.NET Framework) Developer’s Job Specifications (Requirements and Qualifications):
A keen eye ",Not specified,"SQL, JavaScript, MYSQL, MongoDB, PostgreSQL, Angular, React"
Jr. Data Mining Executive,Netsmartz,"Sahibzada Ajit Singh Nagar, Punjab, India",https://in.linkedin.com/jobs/view/jr-data-mining-executive-at-netsmartz-4249621612,2025-06-12,2025-10-21T13:54:03.266463,public_api,"We are actively seeking a motivated Data Mining Executive to join our team immediately. This position is perfect for those who are fresh out of college and are looking to make a big impact in a fast-paced environment.
Responsibilities
 Extracting and analyzing data using Excel, pivot table, v lookup, h lookup, and x lookup.
 Communicate findings or translate the data into an understandable document.
 Collect, interpret and analyze data trends.
 Identify new opportunities for process improvement.
 Provide quality assurance of imported data, working with quality assurance analysts if necessary.
 Processing confidential data and information according to guidelines.
Requirements
 Bachelor's degree from a reputable institution.
 Solid understanding of data mining techniques.
 Proficiency in Excel including pivot table, v lookup, h lookup, and x lookup.
 Strong communication skills, both written and verbal.
 Able to work under pressure and meet deadlines.
 Ability to analyze large datasets.
",Not specified,
