title,company,location,url,post_date,scraped_at,source,description,industry,skills
Data Analyst,FARFETCH,"London, England, United Kingdom",https://uk.linkedin.com/jobs/view/data-analyst-at-farfetch-4317344495,2025-10-07,2025-10-21T03:02:43.584212,authenticated,,Not specified,
Data Analyst Graduate,London Gatwick,"Gatwick, England, United Kingdom",https://uk.linkedin.com/jobs/view/data-analyst-graduate-at-london-gatwick-4314708604,2025-10-15,2025-10-21T03:02:43.584212,authenticated,,Not specified,
Graduate Data Analyst - London,GRAYCE,"London, England, United Kingdom",https://uk.linkedin.com/jobs/view/graduate-data-analyst-london-at-grayce-4311363587,2025-10-07,2025-10-21T03:02:43.584212,authenticated,,Not specified,
Associate Data Analyst,Houseful,"London, England, United Kingdom",https://uk.linkedin.com/jobs/view/associate-data-analyst-at-houseful-4311955875,2025-10-14,2025-10-21T03:02:43.587716,authenticated,,Not specified,
Junior Data Analyst,Clinigen,"London, England, United Kingdom",https://uk.linkedin.com/jobs/view/junior-data-analyst-at-clinigen-4315848425,2025-10-16,2025-10-21T03:02:43.587716,authenticated,,Not specified,
Data Analyst,Houst,"London, England, United Kingdom",https://uk.linkedin.com/jobs/view/data-analyst-at-houst-4302262965,2025-09-15,2025-10-21T03:02:43.587716,authenticated,,Not specified,
Data Analyst,Wipro,"London Area, United Kingdom",https://uk.linkedin.com/jobs/view/data-analyst-at-wipro-4309225491,2025-10-07,2025-10-21T03:02:43.587716,authenticated,,Not specified,
Graduate Data Analyst - London,GRAYCE,"Twickenham, England, United Kingdom",https://uk.linkedin.com/jobs/view/graduate-data-analyst-london-at-grayce-4311355891,2025-10-07,2025-10-21T03:02:43.587716,authenticated,,Not specified,
Data Governance Analyst,CHANEL,"London, England, United Kingdom",https://uk.linkedin.com/jobs/view/data-governance-analyst-at-chanel-4314017827,2025-10-13,2025-10-21T03:02:43.587716,authenticated,,Not specified,
Graduate Data Analyst,ea Change,"London Area, United Kingdom",https://uk.linkedin.com/jobs/view/graduate-data-analyst-at-ea-change-4314145362,2025-10-13,2025-10-21T03:02:43.587716,authenticated,,Not specified,
