title,company,location,url,post_date,scraped_at,source,description,industry,skills
"Analytics Engineer, Go-To-Market Data",LinkedIn,"Sunnyvale, CA",https://www.linkedin.com/jobs/view/analytics-engineer-go-to-market-data-at-linkedin-4317363358?position=1&pageNum=0&refId=rkIZ6QEk%2Fp2qYUZuiUpVrA%3D%3D&trackingId=Bq%2BMpj%2F0Gd18wypHp3yiiA%3D%3D,,2025-10-21T02:04:12.262598,public_api,"Company DescriptionLinkedIn is the world’s largest professional network, built to create economic opportunity for every member of the global workforce. Our products help people make powerful connections, discover exciting opportunities, build necessary skills, and gain valuable insights every day. We’re also committed to providing transformational opportunities for our own employees by investing in their growth. We aspire to create a culture that’s built on trust, care, inclusion, and fun – where everyone can succeed.Join us to transform the way the world works.Job DescriptionThis role will be based in Sunnyvale, San Francisco, Chicago, Omaha or New York.At LinkedIn, our approach to flexible work is centered on trust and optimized for culture, connection, clarity, and the evolving needs of our business. The work location of this role is hybrid, meaning it will be performed both from home and from a LinkedIn office on select days, as determined by the business needs of the team.The Analytics Engineer, Go-To-Market Data (Staff) will lead and scale global data initiatives for the LinkedIn Marketing Solutions (LMS) business, powering data-driven decision-making and business growth at an organizational level. As a senior member of the Data Foundations & Operations team within Global Strategy & Operations, you will define the vision, strategy, and implementation of core data capabilities that shape how we operate, sell, and innovate globally.This is a highly visible, impact-oriented role for someone who thrives at the intersection of data architecture, analytics engineering, and business strategy. You will partner closely with senior business leaders, Engineering, Data Science, Business Operations, and Finance to design and deliver solutions that improve data integrity, scale reliably, unlock new insights, and directly influence business outcomes.ResponsibilitiesLead high-impact global data initiatives from concept to scale — including solution design, technical roadmaps, prioritization, delivery, and adoption across cross-functional teams.Architect scalable, reliable, and business-critical datasets and pipelines that power analytics, decision-making, and automation across the LMS organization.Drive organizational success by proactively identifying pain points and opportunities, translating business strategy into data solutions, and influencing roadmap priorities.Serve as a technical thought leader, establishing standards, processes, and best practices for analytics engineering, data quality, and operational excellence.Own and deliver cross-functional solutions that reduce technical debt, improve data accuracy, simplify workflows, and maximize productivity across teams and tools.Define and measure success metrics for large-scale projects, delivering outsized business impact (e.g., revenue growth, operational efficiency, adoption).Champion the adoption of data products across lines of business, enabling teams to self-serve insights and make smarter decisions faster.Foster collaboration and alignment across business, engineering, and data science partners; ensure shared understanding of goals, trade-offs, and success criteria.Mentor and guide junior team members, serving as a strategic advisor and sounding board on technical and business problems.QualificationsBasic Qualifications:Bachelor’s degree Computer Science, Data Science, Information Systems / MIS, Statistics / Applied Mathematics, Software Engineering / Computer Engineering, Business Analytics / Business Information Systems or related practical experience.6+ years of experience working with data, systems, or tools in a business setting (e.g., analytics engineering, data management, business intelligence, data science, operations, or consulting).4+ years of experience using SQL to create, manage, and optimize large datasets.4+ years building scalable data solutions to support business needsPreferred Qualifications5+ years of experience designing and scaling business-critical data infrastructure, pipelines, tools, and systems in production.Experience with Trino SQL, distributed data systems (e.g., Hadoop, Spark), and modern data stack technologies.Proficiency with BI tools (e.g., Tableau, Power BI) and strong understanding of data modeling best practices.Proven ability to drive measurable business outcomes through data architecture, analytics engineering, and cross-functional collaboration.Demonstrated experience leading large-scale projects and managing diverse stakeholders independently.Expertise in CRM data (preferably Salesforce or Microsoft Dynamics) and understanding of digital media/advertising data ecosystems.Track record of driving organizational adoption of data products and leading process change.Strong communication skills with the ability to present complex technical solutions to non-technical audiences and senior leadership.Bias toward action; comfortable navigating ambiguity and operating in a fast-paced environment.Suggested Skills:SQL, Presto and SparkLarge-Scale Data ArchitectureAnalytics EngineeringData Infrastructure DesignCross-Functional LeadershipLinkedIn Is Committed To Fair And Equitable Compensation Practices.The pay range for this role is $138,000 to $225,000. Actual compensation packages are based on a wide array of factors unique to each candidate, including but not limited to skill set, years & depth of experience, certifications, and specific office location. This may differ in other locations due to cost of labor considerations.The total compensation package for this position may also include annual performance bonus, stock, benefits, and/or other applicable incentive compensation plans. For additional information, visit: https://careers.linkedin.com/benefits.Additional InformationEqual Opportunity Statement We seek candidates with a wide range of perspectives and backgrounds and we are proud to be an equal opportunity employer. LinkedIn considers qualified applicants without regard to race, color, religion, creed, gender, national origin, age, disability, veteran status, marital status, pregnancy, sex, gender expression or identity, sexual orientation, citizenship, or any other legally protected class.LinkedIn is committed to offering an inclusive and accessible experience for all job seekers, including individuals with disabilities. Our goal is to foster an inclusive and accessible workplace where everyone has the opportunity to be successful.If you need a reasonable accommodation to search for a job opening, apply for a position, or participate in the interview process, connect with us at accommodations@linkedin.com and describe the specific accommodation requested for a disability-related limitation.Reasonable accommodations are modifications or adjustments to the application or hiring process that would enable you to fully participate in that process. Examples of reasonable accommodations include but are not limited to:Documents in alternate formats or read aloud to youHaving interviews in an accessible locationBeing accompanied by a service dogHaving a sign language interpreter present for the interviewA request for an accommodation will be responded to within three business days. However, non-disability related requests, such as following up on an application, will not receive a response.LinkedIn will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by LinkedIn, or (c) consistent with LinkedIn's legal duty to furnish information.San Francisco Fair Chance Ordinance Pursuant to the San Francisco Fair Chance Ordinance, LinkedIn will consider for employment qualified applicants with arrest and conviction records.Pay Transparency Policy Statement As a federal contractor, LinkedIn follows the Pay Transparency and non-discrimination provisions described at this link: https://lnkd.in/paytransparency.Global Data Privacy Notice for Job Candidates Please follow this link to access the document that provides transparency around the way in which LinkedIn handles personal data of employees and job applicants: https://legal.linkedin.com/candidate-portal.



        
            Show more
          

          



        
            Show less",Not specified,"Power BI, Spark, Hadoop, Tableau, SQL, Go"
Junior Data Scientist,Jagex,United Kingdom,https://uk.linkedin.com/jobs/view/junior-data-scientist-at-jagex-4316620331?position=2&pageNum=0&refId=rkIZ6QEk%2Fp2qYUZuiUpVrA%3D%3D&trackingId=zMuGX61V%2F%2FtzfqVixA%2Bxkw%3D%3D,,2025-10-21T02:04:12.262598,public_api,"As a Junior Data Scientist at Jagex, you'll help design experiments and build models that make a real impact on our games, players, and teams. You'll work on projects that improve player engagement, optimise marketing, and support commercial decision-making — all while developing your skills in a hands-on, collaborative environment.It will be your job to build algorithms and design experiments that will feed into data products that support the games in commercial, marketing and gameplay areas. Predictive modelling, machine and deep learning approaches will be expected to be in your toolbox. You will be suggesting new areas of investigation to drive player engagement, experience and increase the bottom line.This role is key to our future data science function, and to that end you will receive coaching and mentoring within the data science team. You will work closely with our data engineers and analysts to build and release systems that will have an impact on our games, players and staff. This is an opportunity to increase and hone your data science skills, put them to practical use, placing yourself at the innovative centre of ADSE, maximising the impact data science can have within Jagex.Collaborate with data engineering teams to build model deployments and data pipelinesCollaborate with analysts to understand business questions and build better modelsWork closely with the Studio to identify issues and use data to propose solutions for effective decision makingStay up to date with industry and data science standard technologies, and evangelize them among the team when relevantIdentify new avenues for exploration: combining game world data with game player data with commercial, marketing, store front and a myriad of other sources to forge new groundCoach, mentor, and help build data science capability within ADSERequirementsSome experience (academic, internship, or commercial) working with data analysis or machine learning projects.  Basic proficiency in Python  Comfortable writing SQL to query and manipulate data.  Strong analytical mindset and enthusiasm for problem-solving.  Good communication skills — able to share findings clearly with non-technical colleagues.  Degree (or equivalent experience) in a quantitative field such as Computer Science, Mathematics, Statistics, or similar.



        
            Show more
          

          



        
            Show less",Not specified,"Python, SQL"
Data Apprentice,The Beckmead Trust,"Beckenham, England, United Kingdom",https://uk.linkedin.com/jobs/view/data-apprentice-at-the-beckmead-trust-4317340866?position=3&pageNum=0&refId=rkIZ6QEk%2Fp2qYUZuiUpVrA%3D%3D&trackingId=2HAnQJG7mjUgWQmGgNtoAg%3D%3D,,2025-10-21T02:04:12.262598,public_api,"Establishment: Beckmead Trust - Central Team Location: Hybrid working Salary: NJC Grade 3 SCP 3 - 5 (Outer London) £27,729FTE - £28,521 FTE Department: Data Job Type: Full TimeClosing Date: 31/10/2025 15:32 Interview Date: TBC Start Date: As soon as possibleAdditional InformationContract Type: Fixed Term (31/12/2026) Contract Term: AYR - All year round Hours per Week: 36.00 Weeks per Year: 52.140 Pay Grade: NJC Support Outer London | NJC3 - NJC5
        


        
            Show more
          

          



        
            Show less",Not specified,
Insights and Visualization,Infosys,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/insights-and-visualization-at-infosys-4316628835?position=4&pageNum=0&refId=rkIZ6QEk%2Fp2qYUZuiUpVrA%3D%3D&trackingId=zUpEvo26rTSIcVVRLdEsCA%3D%3D,,2025-10-21T02:04:12.262598,public_api,"Insights and Visualization, Power BI, DAX, SQL, Nielson POS data Engage with Business / Stakeholders with status update on progress of development and issue fix Setup Standards related to Coding, Pipelines and Documentation Understand the requirements from the business and translate it into an appropriate technical requirement. Define key business problems to be solved; formulate high level solution approaches and identify data to solve those problems, develop, analyze/draw conclusions and present to client. Engage with Business / Stakeholders with status update on progress of development and issue fixEEO/About Us: About Us Infosys is a global leader in next-generation digital services and consulting. We enable clients in more than 50 countries to navigate their digital transformation. With over four decades of experience in managing the systems and workings of global enterprises, we expertly steer our clients through their digital journey. We do it by enabling the enterprise with an AI-powered core that helps prioritize the execution of change. We also empower the business with agile digital at scale to deliver unprecedented levels of performance and customer delight. Our always-on learning agenda drives their continuous improvement through building and transferring digital skills, expertise, and ideas from our innovation ecosystem. Infosys provides equal employment opportunities to applicants and employees without regard to race; color; sex; gender identity; sexual orientation; religious practices and observances; national origin; pregnancy, childbirth, or related medical conditions; status as a protected veteran or spouse/family member of a protected veteran; or disability.
        


        
            Show more
          

          



        
            Show less",Not specified,"SQL, Power BI"
Data Scientist I,Banco Bradesco,"Osasco, São Paulo, Brazil",https://br.linkedin.com/jobs/view/data-scientist-i-at-banco-bradesco-4317324771?position=5&pageNum=0&refId=rkIZ6QEk%2Fp2qYUZuiUpVrA%3D%3D&trackingId=6x%2FheiuZ3KX1JdiqHhJbuA%3D%3D,,2025-10-21T02:04:12.262598,public_api,"Sobre o Bradesco O Bradesco é um dos maiores grupos financeiros do Brasil, com uma história marcada pelo pioneirismo e inovação. Por meio da nossa carteira amplamente diversificada de produtos financeiros, serviços bancários e de seguros contribuímos com a realização das pessoas e o crescimento sustentável de empresas e sociedade. Venha fazer parte do nosso ecossistema financeiro e impactar a experiência de milhões de pessoas!No Bradesco valorizamos a diversidade em todas as suas formas. Por isso, as nossas vagas são abertas a todas as pessoas, independentemente de gênero, raça, orientação sexual, deficiência, idade ou qualquer outra característica.Saiba mais em https://banco.bradesco/html/classic/sobre/index.shtm Responsabilidades e atribuições O que é o nosso time de Crédito?Temos como missão garantir uma gestão eficiente na concessão e manutenção de crédito, que assegure rentabilidade e o crescimento com solidez dos ativos da Organização.Modelo de trabalho : Híbrido - 2x PresencialUnidade: Osasco - SP Como será seu dia a dia? Sendo Data Scientist I, atuará na gerência Estratégia Políticas Atacado e suas principais atividades serão: Apoiar na modelagem e documentação de dados e informações utilizados em análises de crédito; Contribuir para a governança e qualidade dos dados, garantindo rastreabilidade e consistência; Participar da automação de processos e integração de sistemas; Colaborar com squads multidisciplinares em projetos como motores de decisão, pré-aprovação e renovação de limites de crédito; Mapeamento de origens e estruturação de bases de dados; Apoio à sustentação de esteiras analíticas e resolução de incidentes; Desenvolvimento de robôs e scripts para automações operacionais; Participação em fóruns de dados e comitês técnicos. Requisitos e Qualificações O que você precisa ter ou saber? Vivência em modelagem de dados; Conhecimento em SAS, Databricks, Power BI, SQL e Python; Noções de estatística aplicada; Vivência com mineração de dados; Atuação em desenvolvimento de modelos preditivos. O que nós oferecemos No Bradesco valorizamos a saúde e bem-estar, oferecendo um extenso portfólio de benefícios a todas nossas pessoas funcionárias: PLR ou Bônus: Conforme a elegibilidade de cargo* Convênio Médico Convênio Odontológico Seguro de Vida Vale Alimentação Vale Refeição 13º Cesta Alimentação Total Pass Vale Transporte (adesão opcional) Descontos em produtos e serviços em empresas parceiras Previdência Privada (adesão opcional, com participação financeira da Organização Bradesco) Viva Bem Bradesco: programa de saúde, bem-estar e qualidade de vida Unibrad: Universidade Corporativa Bradesco Isenção de Tarifas: condições especiais em diversos produtos e serviços Auxílio Creche ou Babá Licença Paternidade estendida de 20 dias Licença Maternidade de 180 dias, acompanhamento assistencial da gestação até o pós-parto



        
            Show more
          

          



        
            Show less",Not specified,"SQL, Python, Power BI"
Jr. Data Scientist,Cognizant,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/jr-data-scientist-at-cognizant-4306345733?position=6&pageNum=0&refId=rkIZ6QEk%2Fp2qYUZuiUpVrA%3D%3D&trackingId=ZmQAVBaZ%2Bjh%2Fi7cvCPfPGA%3D%3D,,2025-10-21T02:04:12.262598,public_api,"We are looking for a motivated and skilled engineer in AI/ML and Generative AI to contribute to the design and development of innovative Analytics solutions. You will work as part of a collaborative, cross-functional team to build scalable models and systems that enhance decision-making, improve operational efficiency, and unlock insights from complex data.QualificationsExceptional candidates with a Bachelor's degree in Engineering, preferably in IT, computer science, statistics, or data science, may also be considered. A degree in a relevant field such as Probability, Statistics, Machine Learning, Data Mining, Artificial Intelligence, or Computer Science or engineering disciplines. ExperienceOverall experience needed: Must have minimum 3-4 years of professional experience in the relevant fields and roles such as Data Scientist/AI Engineer/Generative AI engineer or equivalent.AI/ML: Development of Data Science/AI and Machine learning based solutions/prototypes/ PoCs for different domains, Solution Architecture Designing, Data Engineering, Algorithm Design, MLOPSGenerative AI (~1 year required) and Natural Language processing - Previous experience working with generative AI and developing solutions covering but not limited to LLMs, LLMOps, Retrieval Augmented Generation, prompt engineering, Understanding of chatbot development and deployment. Understanding of agentic framework.TechnologyMust: Python (Numpy, Pandas), deep learning, NLTK, HuggingFace, TensorFlow, Scikit-Learn, PyTorch, Langchain, Transformers, OpenAI GPT models, Mistral, LLAMA models and any other foundational modelsCloud-Azure/AWS-basic understanding of setting up, deploying, working with & managing cloud VMsDesired skills and technology: Databricks, Streamlit, REST API, Flask. Frontend / UI technology experience is a plus.Other SkillsSkills and mindset: The candidate should have strong mathematical, analytical, and problem-solving skills, as well as a research-oriented and proactive attitude. The candidate should take ownership and result oriented. Team skills and collaborative – Collaborates closely with stakeholders and is a strong team player Research and innovation: The candidate should keep up with the latest developments in the relevant fields and seek new ways to leverage technology for better solutions. Software engineering: The candidate should be able to understand the requirements, test the solutions, and integrate analytical algorithms into a product. Good To HaveDomain experience/exposure: Automotive Domain Experience, Automotive Test Suite Experience, railways, aerospace, automation equipment, Embedded development, software development and testing, engineering and manufacturing, product engineering, design and development.ResponsibilitiesUse data mining and machine learning techniques to build advanced systems. Design, develop, and validate data science models. Visualize data and explain outcomes. Create data preparation processes and tools. Ensure data ingestion and governance criteria are met. Design, develop, and implement solutions with a focus on Generative AI. Integrate generative AI into existing applications. Fine-tune language models for better performance. Collect, assess, and document requirements. Perform root cause analysis and offer improved approaches. Integrate analytical algorithms into a bigger solution/product. Understand business challenges and formulate data analysis approach. Define data requirements for analysis. Research innovative technologies. Interpret, document, and present analytical results. Build intelligent systems to enrich the end-user experience. Work with business and solution teams to conceptualize and manage data-driven projects.



        
            Show more
          

          



        
            Show less",Not specified,"PyTorch, Flask, TensorFlow, Python, Azure, Scikit-Learn, AWS"
Data Scientist,Microsoft,United States,https://www.linkedin.com/jobs/view/data-scientist-at-microsoft-4317378525?position=7&pageNum=0&refId=rkIZ6QEk%2Fp2qYUZuiUpVrA%3D%3D&trackingId=M%2Bq45SllkojuBf9VjLLFvQ%3D%3D,,2025-10-21T02:04:12.262598,public_api,"The Microsoft Azure Host Networking and Hardware Acceleration team is building a reliable and high-performance cloud network. We develop and maintain the infrastructure that connects physical hardware to virtual machines, with a focus on Linux platforms and hardware innovation.We’re seeking a Data Scientist who enjoys solving technical challenges and using data to improve both our products and processes.In this role, you’ll contribute to our detection systems, support investigations into key service issues, and deepen your understanding of kernel-level networking. You’ll work with novel networking data to generate insights and help improve engineering practices.Curiosity about how systems work, clear communication, and familiarity with computing fundamentals will help you thrive.Microsoft’s mission is to empower every person and every organization on the planet to achieve more. As employees we come together with a growth mindset, innovate to empower others, and collaborate to realize our shared goals. Each day we build on our values of respect, integrity, and accountability to create a culture of inclusion where everyone can thrive at work and beyond.#azurecorejobs #EiPResponsibilitiesDevelop solutions using Large Language Models (LLMs) to support recommendation systemsAnalyze new types of network data to uncover patternsGenerate insights from operational dataSupport resolution of high-priority customer issuesDemonstrate alignment with our team values and collaborative cultureQualificationsRequired Qualifications:Bachelor's Degree in Data Science, Mathematics, Statistics, Econometrics, Economics, Operations Research, Computer Science, or related field Experience debugging, supporting, or managing production servers.Other QualificationsAbility to meet Microsoft, customer and/or govenment security screening requirements are required for this role. These requirements include, but are not limited to the following specialized security screenings:Microsoft Cloud Background Check: This position will be required to pass the Microsoft Cloud Background Check upon hire/transfer and every two years thereafter.Preferred QualificationsMaster's Degree in Data Science, Mathematics, Statistics, Econometrics, Economics, Operations Research, Computer Science,OR related field OR Bachelor's Degree in Data Science, Mathematics, Statistics, Econometrics, Economics, Operations Research, Computer Science, OR related field AND 1+ years data-science experience (e.g., managing structured and unstructured data, applying statistical techniques and reporting results) OR equivalent experience. Data Science IC2 - The typical base pay range for this role across the U.S. is USD $84,200 - $165,200 per year. There is a different range applicable to specific work locations, within the San Francisco Bay area and New York City metropolitan area, and the base pay range for this role in those locations is USD $109,000 - $180,400 per year.Certain roles may be eligible for benefits and other compensation. Find additional benefits and pay information here: https://careers.microsoft.com/us/en/us-corporate-payMicrosoft will accept applications for the role until October 28th, 2025.#azurecorejobs #EiPMicrosoft is an equal opportunity employer. Consistent with applicable law, all qualified applicants will receive consideration for employment without regard to age, ancestry, citizenship, color, family or medical care leave, gender identity or expression, genetic information, immigration status, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran or military status, race, ethnicity, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable local laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application process, read more about requesting accommodations.
        


        
            Show more
          

          



        
            Show less",Not specified,Azure
Marketing Coordinator,PopSockets,"Boulder, CO",https://www.linkedin.com/jobs/view/marketing-coordinator-at-popsockets-4316648207?position=8&pageNum=0&refId=rkIZ6QEk%2Fp2qYUZuiUpVrA%3D%3D&trackingId=7xLBl1%2Beb1ANGXuMWnSycQ%3D%3D,,2025-10-21T02:04:12.262598,public_api,"Launched in 2014 by former philosophy professor David Barnett, PopSockets is a global digital-lifestyle company that sells empowering, fun, and expressive products that improve people’s digital lives. PopSockets has sold close to 300 million of its iconic phone grips in 75 countries and now has an expanding ecosystem of related products, including phone cases, wallets, mounts, batteries, and chargers.Our mission is to empower enhanced mobile functionality, self-expression, and authentic human connection. We imagine an Eternal Positivity Machine that sparks joy, creativity, and meaningful relationships. We bring this vision to life by upholding the highest standards in materials, packaging, logistics, and design—while ensuring our supply chain and labor practices remain ethical, responsible, and transparent.In 2021, PopSockets was honored as one of Fast Company’s World's Most Innovative Companies.The Role:  The Marketing Coordinator will report directly to the Sr. Manager of Marketing Operations but will partner closely with multiple team members within the Marketing department to help support the successful execution of marketing campaigns and initiatives across DTC, AMZ, and wholesale.ResponsibilitiesTactical Campaign Support: Lead the development of campaign workback schedules and partner closely with Marketing and Creative stakeholders to ensure assets are delivered on time and according to the brief. Creative Traffic Management: Manage the end-to-end trafficking of creative projects, including intake, prioritization, assignment, and timing to ensure smooth execution. Marketing Team Liaison: Serve as the central point of contact between creative and cross-functional partners to communicate project status and resolve bottlenecks. Packaging Coordination: Partner with the packaging team on project prioritization and timing and provide tactical project management support to streamline workflows and free up designers to focus on creative execution. Project Management: Support on the ongoing refinement of our project management processes and tools to allow team members to focus more on their work and less on process-related tasks. Samples Coordination: Lead the coordination of sample needs across the Marketing team and assist in packing, shipping, and tracking when needed. Content Creation: Support team with internal (newsletters, blogs) and external (social media) content creation to help build the brand. Event Coordination: Assist in event coordination logistics for pop-ups, sponsored events, and more. Administrative Tasks: Provide general administrative support to the marketing team, including calendar set-up, organization of marketing materials, and communication with vendors. RequirementsBachelor's degree in Marketing, Communications, Business, or a related field. 1-2 years of experience in marketing, communications, or a related area. Proficient in Microsoft Office Suite and Google Suite and familiar with major social media platforms. Willingness to learn and champion Monday.com as a project management tool. Possess strong written and verbal communication skills. Advanced organizational ability to manage multiple projects and deadlines at once. Bring a positive attitude to work with the team and support where needed, and a hunger to learn and grow. $55,000 - $65,000 a yearPopSockets is dedicated to the practice of equal opportunity employment. We prohibit unlawful discrimination against applicants and employees on the basis of age, race, sex, sexual orientation, gender identity, religion, national origin, disability, military status, genetic information, color, creed, ancestry, or any other status protected by applicable federal, state or local law. This prohibition includes unlawful harassment based on any of these protected classes. Unlawful harassment includes verbal or physical conduct which has the purpose or effect of interfering with an individual’s work performance, or creating an intimidating, hostile, offensive, unsafe or otherwise non-welcoming work environment. This policy applies to all employees, including managers, supervisors, co-workers; and non-employees such as customers, clients, vendors, consultants, etc.We may use artificial intelligence (AI) tools to support parts of the hiring process, such as reviewing applications, analyzing resumes, or assessing responses. These tools assist our recruitment team but do not replace human judgment. Final hiring decisions are ultimately made by humans. If you would like more information about how your data is processed, please contact us.
        


        
            Show more
          

          



        
            Show less",Not specified,
Data Analyst,knownwell,United States,https://www.linkedin.com/jobs/view/data-analyst-at-knownwell-4317367655?position=9&pageNum=0&refId=rkIZ6QEk%2Fp2qYUZuiUpVrA%3D%3D&trackingId=ZgtSUR7TxACEwJz0lGpBgw%3D%3D,,2025-10-21T02:04:12.262598,public_api,"Meet knownwell, weight-inclusive healthcare for all. Join a dynamic company that is changing the way care is delivered for patients with obesity. knownwell is a weight-inclusive healthcare company offering metabolic health services, primary care, nutrition counseling and health coaching services for anyone of any size. Our hybrid model allows for both in-clinic and virtual care to bring support to patients where and when they need it. To learn more about our recent Series B funding, led by CVS Ventures and Andreessen Horowitz, please check out this article.We are looking to build our team with a Data Analyst, reporting into our Head of Analytics. You will be responsible for supporting our team’s efforts in data management, analysis, and visualization, helping to drive decision making for our growing team. The ideal candidate will be comfortable working with SQL and Python, and have experience working with BI platforms to visualize data.Job Title: Data AnalystLocation: RemoteResponsibilities:Query, organize and maintain data from various sources using SQL. Perform data analysis using Python to identify trends, patterns, and insights. Develop and maintain dashboards and visualizations utilizing BI tools. Assist team members in preparing reports and presentations to communicate insights clearly to stakeholders. Collaborate with cross-functional teams to understand business needs and support data-driven decision-making. Independently take business questions and perform necessary analytics to deliver actionable solutions. Ensure data accuracy, integrity, and completeness through validation and quality checks. Continuously enhance technical skills through training and self-directed learning. Qualifications: Bachelor's degree in Data Analytics, Computer Science, Information Systems, Statistics, or a related quantitative field. Proficiency in SQL and Python; familiarity with Snowflake is a plus. Familiarity with Hex or other BI tools (Tableau, Power BI, Looker); experience with Hex specifically is a plus. Strong analytical, problem-solving, and critical-thinking skills. Excellent organizational and communication skills, with attention to detail. Ability to work collaboratively in a team environment and independently manage tasks. A growth mindset with a willingness to learn and adapt to new technologies and methodologies. We offer a comprehensive benefits package (Medical, Dental, Vision, 401k match, PTO), competitive salary and the opportunity to be part of a purpose-driven organization that is dedicated to making a positive impact on the lives of patients. If you are an ambitious and experienced clinician who is passionate about transforming healthcare and creating meaningful change, we invite you to apply and join our dynamic team. Please send us a note at hiring@knownwell.health.knownwell, Inc. provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation, and training. Based on current size of the clinic and HIPAA regulation, providers cannot receive care in clinic and provider’s household members cannot receive primary care in the clinic.
        


        
            Show more
          

          



        
            Show less",Not specified,"Tableau, SQL, Python, Power BI"
Junior Data Analyst,Adecco,New York City Metropolitan Area,https://www.linkedin.com/jobs/view/junior-data-analyst-at-adecco-4316616601?position=10&pageNum=0&refId=rkIZ6QEk%2Fp2qYUZuiUpVrA%3D%3D&trackingId=X9b0f%2BfuarAHvJy03fM8eg%3D%3D,,2025-10-21T02:04:12.262598,public_api,"Adecco is seeking a detail-oriented and curious Entry-Level Data Analyst for our client, a major publisher of children's books. In this role, you will work with large, complex datasets to uncover trends, support decision-making, and help drive data-informed strategies across the business. You’ll collaborate closely with senior analysts and cross-functional teams to ensure data accuracy and deliver meaningful insights that support business goals.Candidates must be eligible to work in the US without sponsorship now or in the future. This role is hybrid in NYC. Please only candidates currently located in NYC apply.ResponsibilitiesAnalyze large datasets to identify patterns, trends, and insights that support key business questionsSupport senior analysts in developing actionable recommendations based on analytical findingsCollaborate with internal stakeholders to understand data needs and develop data-driven solutionsEnsure the accuracy and integrity of data through validation and quality checksAssist with building and maintaining reports and dashboards for ongoing performance trackingMust Haves:Proficiency in SQL for querying and manipulating dataStrong skills in Excel or Google Sheets0–2 years of experience in a data analyst or similar analytical roleExperience with Git for version controlFamiliarity with Python for data cleaning and analysisExposure to Amazon S3 or cloud-based data storageExperience using AWS Sagemaker, Jupyter Notebooks, or similar environmentsKnowledge of Power BI, Tableau, or other data visualization toolsIdeal CandidateYou’re analytical, detail-oriented, and eager to learn. You enjoy solving problems with data, collaborating with teams, and using your insights to make an impact. This is a great opportunity to build a strong foundation in data analytics while contributing to meaningful projects.



        
            Show more
          

          



        
            Show less",Not specified,"Power BI, Python, Tableau, SQL, AWS"
