title,company,location,url,post_date,scraped_at,source,description,industry,skills
Software Engineer,hackajob,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/software-engineer-at-hackajob-4307991209,2025-10-02,2025-10-21T13:45:22.344596,public_api,"hackajob
 is collaborating with 
UnitedHealth Group
 to connect them with exceptional tech professionals for this role.
Optum is a global organization that delivers care, aided by technology to help millions of people live healthier lives. The work you do with our team will directly improve health outcomes by connecting people with the care, pharmacy benefits, data and resources they need to feel their best. Here, you will find a culture guided by inclusion, talented peers, comprehensive benefits and career development opportunities. Come make an impact on the communities we serve as you help us advance health optimization on a global scale. Join us to start
 Caring. Connecting. Growing together. 
We are seeking a highly skilled and experienced Senior Java Developer to join our dynamic team. The ideal candidate will have solid expertise in Java development, with a focus on Spring Boot, Apache Kafka, and database technologies such as MySQL or other relational/non-relational databases. Y",Not specified,"Redis, MongoDB, Azure, AWS, Kafka, Java, Spring Boot, Kubernetes, Cassandra, GCP, Docker, MySQL"
Software Engineer - Python,PayPal,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/software-engineer-python-at-paypal-4287141862,2025-08-26,2025-10-21T13:45:22.344596,public_api,"The Company
PayPal has been revolutionizing commerce globally for more than 25 years. Creating innovative experiences that make moving money, selling, and shopping simple, personalized, and secure, PayPal empowers consumers and businesses in approximately 200 markets to join and thrive in the global economy.
We operate a global, two-sided network at scale that connects hundreds of millions of merchants and consumers. We help merchants and consumers connect, transact, and complete payments, whether they are online or in person. PayPal is more than a connection to third-party payment networks. We provide proprietary payment solutions accepted by merchants that enable the completion of payments on our platform on behalf of our customers.
We offer our customers the flexibility to use their accounts to purchase and receive payments for goods and services, as well as the ability to transfer and withdraw funds. We enable consumers to exchange funds more safely with merchants using a variety o",Not specified,"SQL, Azure, AWS, Django, Python, GCP, Flask"
"Software Engineer, Machine Learning",LinkedIn,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/software-engineer-machine-learning-at-linkedin-4304003122,2025-10-14,2025-10-21T13:45:22.344596,public_api,"Company Description
LinkedIn is the worlds largest professional network, built to create economic opportunity for every member of the global workforce. Our products help people make powerful connections, discover exciting opportunities, build necessary skills, and gain valuable insights every day. Were also committed to providing transformational opportunities for our own employees by investing in their growth. We aspire to create a culture thats built on trust, care, inclusion, and fun where everyone can succeed.
Job Description
Join the LSS-AI team and help create meaningful impact by connecting sellers and buyers to mutual growth opportunities! LinkedIn Sales Solutions (LSS) is one of the fastest-growing multi-billion dollar verticals at LinkedIn, and the LSS-AI team is at the forefront of building the next generation of AI-centric Sales Navigator platform. This platform enables tens of millions of companies to connect with their future customers, driving significant economic value.",Not specified,
Data Analyst,Unilever,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-unilever-4315079254,2025-10-16,2025-10-21T13:45:22.344596,public_api,"JOB TITLE: 
Data Analyst
JOB FUNCTION: 
R&D
SCOPE: 
Global
WORK LOCATION: 
Unilever Research India – R&D Bangalore, Whitefield
About Unilever
With 3.4 billion people in over 190 countries using our products every day, Unilever is a business that makes a real impact on the world. Work on brands that are loved and improve the lives of our consumers and the communities around us. We are driven by our purpose: to make sustainable living commonplace, and it is our belief that doing business the right way drives superior performance. At the heart of what we do is our people – we believe that when our people work with purpose, we will create a better business and a better world.
At Unilever, your career will be a unique journey, grounded in our inclusive, collaborative, and flexible working environment. We don’t believe in the ‘one size fits all’ approach and instead we will equip you with the tools you need to shape your own future.
Category Or Function Introduction
Home Care is a global bus",Not specified,"Power BI, R"
Data Engineer I,Amazon,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-engineer-i-at-amazon-4300576316,2025-10-06,2025-10-21T13:45:22.344596,public_api,,,
Data Analyst,Deloitte,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-deloitte-4303479098,2025-09-25,2025-10-21T13:45:22.344596,public_api,"Data Analyst
Location:
 Bangalore / Pune
About the Role:
We are looking for an experienced Data Analyst with strong technical expertise and a solution-oriented mindset. The ideal candidate will leverage advanced skills in Python, PySpark, and SQL to manage and transform data, uncover insights, and support complex business use cases. Experience in the banking sector and knowledge of data governance principles will be a strong advantage.
Key Responsibilities:
Analyze and transform large datasets using PySpark and SQL to solve complex business problems.
Identify data anomalies and perform thorough data validation to ensure accuracy and quality.
Collaborate effectively with stakeholders, managing expectations and delivering data-driven solutions.
Take ownership of the end-to-end data development and deployment process.
Uphold data governance, quality, privacy, and control standards throughout the data lifecycle.
Technical Skills & Experience:
Minimum 5 years of professional experience in P",Not specified,"SQL, Python"
Data Engineer I,Amazon,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-engineer-i-at-amazon-4300564911,2025-10-06,2025-10-21T13:45:22.344596,public_api,,,
Data Analyst,Curefit,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-curefit-4311927826,2025-10-14,2025-10-21T13:45:22.344596,public_api,"Curefit Healthcare Pvt Ltd, founded in 2016, is India’s largest fitness company and wellness platform. Cult, from the house of Curefit, was established with a mission to make fitness easy, fun and accessible to everyone, and has emerged as a community celebrating the joy of fitness. The brand today offers a range of fitness services ranging from group workouts, gyms and personalized fitness solutions, as well as an expansive selection of quality fitness products for the everyday athlete. The company’s vision is to empower everyone towards an active and healthier lifestyle through innovative fitness solutions, enabled by technology.
As a Sr Executive in our Contact Center Control Tower, you will be central to ensuring smooth and efficient operations. You'll be responsible for managing MIS, Workforce Management (WFM), and Real-Time Management (RTM) functions. Your key focus will be on monitoring real-time performance, analyzing data to identify trends and issues, deriving actionable insi",Not specified,SQL
"Software Engineer, Systems Infrastructure",LinkedIn,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/software-engineer-systems-infrastructure-at-linkedin-4315355742,2025-10-15,2025-10-21T13:45:22.344596,public_api,"Company Description
LinkedIn is the worlds largest professional network, built to create economic opportunity for every member of the global workforce. Our products help people make powerful connections, discover exciting opportunities, build necessary skills, and gain valuable insights every day. Were also committed to providing transformational opportunities for our own employees by investing in their growth. We aspire to create a culture thats built on trust, care, inclusion, and fun where everyone can succeed.
Job Description
This role will be based in Bangalore, India.
At LinkedIn, our approach to flexible work is centered on trust and optimized for culture, connection, clarity, and the evolving needs of our business. The work location of this role is hybrid, meaning it will be performed both from home and from a LinkedIn office on select days, as determined by the business needs of the team.
As part of our world-class software engineering team, you will be charged with building t",Not specified,"TensorFlow, Java, Python, Kubernetes, PyTorch, Scala, Spark, Go, Kafka"
Data Engineer – Financial Infrastructure & Analytics,Meril,"Bangalore Urban, Karnataka, India",https://in.linkedin.com/jobs/view/data-engineer-%E2%80%93-financial-infrastructure-analytics-at-meril-4316488880,,2025-10-21T13:45:22.344596,public_api,"About the Role
As a 
Quantitative Data Engineer
, you will be the backbone of the data ecosystem powering our 
quantitative research, trading, and AI-driven strategies
. You will design, build, and maintain the 
high-performance data infrastructure
 that enables low-latency, high-fidelity access to market, fundamental, and alternative data across multiple asset classes.
This role bridges 
quant engineering, data systems, and research enablement
, ensuring that our researchers and traders have fast, reliable, and well-documented datasets for analysis and live trading. You’ll be part of a cross-functional team working at the intersection of 
finance, machine learning, and distributed systems
.
Responsibilities
Architect and maintain scalable ETL pipelines
 for ingesting and transforming terabytes of structured, semi-structured, and unstructured market and alternative data.
Design time-series optimized data stores
 and 
streaming frameworks
 to support low-latency data access for both bac",Not specified,"SQL, Redis, AWS, Azure, PostgreSQL, Python, Kubernetes, ElasticSearch, Scala, Spark, Go, Airflow, GCP, Kafka"
