title,company,location,url,post_date,scraped_at,source,description,industry,skills
Analista de Dados Logísticos Júnior - São Paulo/SP,Shopee,"São Paulo, São Paulo, Brazil",https://br.linkedin.com/jobs/view/analista-de-dados-log%C3%ADsticos-j%C3%BAnior-s%C3%A3o-paulo-sp-at-shopee-4272766732,2025-10-19,2025-10-21T02:45:29.156909,authenticated,,Not specified,
Data Analyst,Meta,"New York, NY",https://www.linkedin.com/jobs/view/data-analyst-at-meta-4294490643,,2025-10-21T02:45:29.156909,authenticated,,Not specified,
Data Analyst,Meta,"Austin, TX",https://www.linkedin.com/jobs/view/data-analyst-at-meta-4293931567,,2025-10-21T02:45:29.156909,authenticated,,Not specified,
Data Analyst,Meta,"Austin, TX",https://www.linkedin.com/jobs/view/data-analyst-at-meta-4294484853,,2025-10-21T02:45:29.156909,authenticated,,Not specified,
Data Analyst,Realtor.com,"Austin, TX",https://www.linkedin.com/jobs/view/data-analyst-at-realtor-com-4306059912,2025-10-19,2025-10-21T02:45:29.156909,authenticated,,Not specified,
Data Analyst - People Analytics,Meta,"Menlo Park, CA",https://www.linkedin.com/jobs/view/data-analyst-people-analytics-at-meta-4284315096,2025-10-19,2025-10-21T02:45:29.156909,authenticated,,Not specified,
Business Intelligence - General Recruitment (2025 Intake),Shopee,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",https://my.linkedin.com/jobs/view/business-intelligence-general-recruitment-2025-intake-at-shopee-4163559264,,2025-10-21T02:45:29.156909,authenticated,,Not specified,
Data Analyst - People Analytics,Meta,"Austin, TX",https://www.linkedin.com/jobs/view/data-analyst-people-analytics-at-meta-4284313473,2025-10-19,2025-10-21T02:45:29.156909,authenticated,,Not specified,
"Junior Data Analyst - Marketing Analytics, Regional Brand & Growth Marketing (Entry-Level)",Shopee,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/junior-data-analyst-marketing-analytics-regional-brand-growth-marketing-entry-level-at-shopee-4296845461,,2025-10-21T02:45:29.156909,authenticated,,Not specified,
Data Analyst,Jack,United States,https://www.linkedin.com/jobs/view/data-analyst-at-jack-4314026765,2025-10-19,2025-10-21T02:45:29.156909,authenticated,,Not specified,
Insights and Visualization,Infosys,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/insights-and-visualization-at-infosys-4316628835,,2025-10-21T02:45:33.910804,authenticated,,Not specified,
SALES DATA ANALYST - PT KALBE BLACKMORES NUTRITION,Kalbe Nutritionals (PT Sanghiang Perkasa),"Jakarta, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/sales-data-analyst-pt-kalbe-blackmores-nutrition-at-kalbe-nutritionals-pt-sanghiang-perkasa-4316612473,,2025-10-21T02:45:33.910804,authenticated,,Not specified,
"Analyst, Data Analytics & Business Intelligence",hackajob,"New York, NY",https://www.linkedin.com/jobs/view/analyst-data-analytics-business-intelligence-at-hackajob-4316159858,2025-10-18,2025-10-21T02:45:33.910804,authenticated,,Not specified,
"Data Analyst - FinTech - £65,000-£100,000 + Bonus",Hunter Bond,"London Area, United Kingdom",https://uk.linkedin.com/jobs/view/data-analyst-fintech-%C2%A365-000-%C2%A3100-000-%2B-bonus-at-hunter-bond-4314332455,2025-10-19,2025-10-21T02:45:33.910804,authenticated,,Not specified,
Data Analyst,Chevron,"Buenos Aires, Buenos Aires Province, Argentina",https://ar.linkedin.com/jobs/view/data-analyst-at-chevron-4314321832,2025-10-19,2025-10-21T02:45:33.910804,authenticated,,Not specified,
Junior Data Analyst,Adecco,New York City Metropolitan Area,https://www.linkedin.com/jobs/view/junior-data-analyst-at-adecco-4316616601,,2025-10-21T02:45:33.910804,authenticated,,Not specified,
Data Analyst,Helic & Co.,United States,https://www.linkedin.com/jobs/view/data-analyst-at-helic-co-4317305724,,2025-10-21T02:45:33.910804,authenticated,,Not specified,
Data Analyst,Helic & Co.,United Kingdom,https://uk.linkedin.com/jobs/view/data-analyst-at-helic-co-4317303841,,2025-10-21T02:45:33.910804,authenticated,,Not specified,
Virtual Data Analyst Full Time (100% Remote),EMK CONSULTORIA,"New York, United States",https://www.linkedin.com/jobs/view/virtual-data-analyst-full-time-100%25-remote-at-emk-consultoria-4317097643,,2025-10-21T02:45:33.910804,authenticated,,Not specified,
Analista de Datos Junior - Madrid,KPMG España,"Madrid, Community of Madrid, Spain",https://es.linkedin.com/jobs/view/analista-de-datos-junior-madrid-at-kpmg-espa%C3%B1a-4314375159,,2025-10-21T02:45:33.910804,authenticated,,Not specified,
Analista de Datos Junior - Madrid,KPMG España,"Madrid, Community of Madrid, Spain",https://es.linkedin.com/jobs/view/analista-de-datos-junior-madrid-at-kpmg-espa%C3%B1a-4314375159,,2025-10-21T02:45:38.573509,authenticated,,,
Analista de Dados e BI,Sicoob,"Brasília, Federal District, Brazil",https://br.linkedin.com/jobs/view/analista-de-dados-e-bi-at-sicoob-4317008637,2025-10-19,2025-10-21T02:45:38.573509,authenticated,,,
GCP Data Analyst - BigQuery (Canada),Rackspace Technology,"Toronto, Ontario, Canada",https://ca.linkedin.com/jobs/view/gcp-data-analyst-bigquery-canada-at-rackspace-technology-4316440600,,2025-10-21T02:45:38.575521,authenticated,,,
Virtual Data Analyst Full Time (100% Remote),EMK CONSULTORIA,"Florida, United States",https://www.linkedin.com/jobs/view/virtual-data-analyst-full-time-100%25-remote-at-emk-consultoria-4317084836,,2025-10-21T02:45:38.577274,authenticated,,,
Analista de Datos,Indra,"Bogota, D.C., Capital District, Colombia",https://co.linkedin.com/jobs/view/analista-de-datos-at-indra-4317033322,,2025-10-21T02:45:38.577274,authenticated,,,
Junior - Data Analyst - Milano/Cagliari,Deloitte,"Milan, Lombardy, Italy",https://it.linkedin.com/jobs/view/junior-data-analyst-milano-cagliari-at-deloitte-4259401998,2025-10-19,2025-10-21T02:45:38.577274,authenticated,,,
Virtual Data Analyst Full Time (100% Remote),EMK CONSULTORIA,"Pennsylvania, United States",https://www.linkedin.com/jobs/view/virtual-data-analyst-full-time-100%25-remote-at-emk-consultoria-4317086831,,2025-10-21T02:45:38.579784,authenticated,,,
Virtual Data Analyst Full Time (100% Remote),EMK CONSULTORIA,"Illinois, United States",https://www.linkedin.com/jobs/view/virtual-data-analyst-full-time-100%25-remote-at-emk-consultoria-4317087848,,2025-10-21T02:45:38.581793,authenticated,,,
