title,company,location,url,post_date,scraped_at,source,description,industry,skills
Analista de Dados Logísticos Júnior - São Paulo/SP,Shopee,"São Paulo, São Paulo, Brazil",https://br.linkedin.com/jobs/view/analista-de-dados-log%C3%ADsticos-j%C3%BAnior-s%C3%A3o-paulo-sp-at-shopee-4272766732,2025-10-19,2025-10-21T02:59:59.206675,authenticated,,Not specified,
Data Analyst,Meta,"New York, NY",https://www.linkedin.com/jobs/view/data-analyst-at-meta-4294490643,,2025-10-21T02:59:59.206675,authenticated,,Not specified,
Data Analyst,Meta,"Austin, TX",https://www.linkedin.com/jobs/view/data-analyst-at-meta-4293931567,,2025-10-21T02:59:59.206675,authenticated,,Not specified,
Data Analyst,Meta,"Austin, TX",https://www.linkedin.com/jobs/view/data-analyst-at-meta-4294484853,,2025-10-21T02:59:59.206675,authenticated,,Not specified,
Data Analyst,Realtor.com,"Austin, TX",https://www.linkedin.com/jobs/view/data-analyst-at-realtor-com-4306059912,2025-10-19,2025-10-21T02:59:59.206675,authenticated,,Not specified,
Data Analyst - People Analytics,Meta,"Menlo Park, CA",https://www.linkedin.com/jobs/view/data-analyst-people-analytics-at-meta-4284315096,2025-10-19,2025-10-21T02:59:59.206675,authenticated,,Not specified,
Business Intelligence - General Recruitment (2025 Intake),Shopee,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",https://my.linkedin.com/jobs/view/business-intelligence-general-recruitment-2025-intake-at-shopee-4163559264,,2025-10-21T02:59:59.206675,authenticated,,Not specified,
Data Analyst - People Analytics,Meta,"Austin, TX",https://www.linkedin.com/jobs/view/data-analyst-people-analytics-at-meta-4284313473,2025-10-19,2025-10-21T02:59:59.206675,authenticated,,Not specified,
"Junior Data Analyst - Marketing Analytics, Regional Brand & Growth Marketing (Entry-Level)",Shopee,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/junior-data-analyst-marketing-analytics-regional-brand-growth-marketing-entry-level-at-shopee-4296845461,,2025-10-21T02:59:59.206675,authenticated,,Not specified,
Data Analyst,Jack,United States,https://www.linkedin.com/jobs/view/data-analyst-at-jack-4314026765,2025-10-19,2025-10-21T02:59:59.206675,authenticated,,Not specified,
